time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.22168437056e-07,3.32912825081e-06,10.0099861404,0.0014761070376,6.28298355813,0.0,1.64348286091e-05,0.000242010520791,0.332833969202,0.0516083709167,-0.0111180521685,0.0,505.5073648140531,504.7057743957876,503.853943227156,507.5707238296591
0.12000000000000001,8.14097750268e-06,6.31412628685e-05,10.0343947723,0.00418471813813,6.28247032692,0.0,0.000314752842165,0.00207367897873,0.480735064807,0.0272906652881,-0.00386390182076,0.0,451.8689129286626,452.4533397821187,452.7824014704974,450.82316991002796
0.18,4.20650635869e-05,0.0002765575543,10.0653540361,0.00607873088242,6.28215393748,0.0,0.000842632276636,0.00521356360241,0.551207707443,0.0389793035974,-0.0082522741973,0.0,427.92746842811397,427.5538986779032,427.134711675832,428.1306161013777
0.23999999999999996,0.000116621068854,0.000731139612558,10.1025463657,0.00835377275695,6.28204142516,0.0,0.00167263369881,0.0101868329918,0.688461699518,0.0357046605121,0.00853202404733,0.0,447.9446083219733,449.3072657942661,449.3196629685923,449.05481903222113
0.3,0.000237155613717,0.00151012042328,10.1453496184,0.0106800077565,6.28237505102,0.0,0.00230442349549,0.0159908008656,0.738280268081,0.0442871442038,-0.00116694019506,0.0,421.8406329442138,421.00230887079846,420.57946770108254,421.32287161163373
0.36000000000000004,0.000394207156142,0.00272371539347,10.1946858025,0.0137735376282,6.28210421734,0.0,0.00294848295429,0.0247865279148,0.90613696401,0.063136809289,-0.0122276805891,0.0,458.84968709622945,457.97096443504927,457.8769526516739,459.37546060562505
0.4200000000000001,0.000597875568625,0.00452857854413,10.2533461531,0.0172478375087,6.28130770908,0.0,0.00392313528273,0.0357703912732,1.04908121422,0.044575480656,-0.0154568959405,0.0,451.4637000964725,451.20322440177637,451.79525363695427,450.2986215506254
0.48000000000000015,0.000879256381139,0.0070721447877,10.3210314048,0.0197375888672,6.28024069875,0.0,0.00556567017406,0.0492987822516,1.20693457995,0.0344909664007,-0.0228977885254,0.0,456.3346064050646,455.74039321162354,456.4374136369463,455.63284649236795
0.5400000000000001,0.00127580218353,0.0104240421842,10.395367799,0.0214098090763,6.27891513181,0.0,0.00778274881827,0.0626155361425,1.27087144868,0.00937450051015,-0.0205296727498,0.0,426.8037358215386,427.00573861124286,427.8170983201942,425.67361471736734
0.6000000000000002,0.00183200810393,0.0146075826496,10.4737780077,0.0222501860931,6.27751253646,0.0,0.0108852705746,0.0769037524703,1.34271772824,0.0219514316874,-0.0297832524431,0.0,429.98920487176724,429.20455754246063,428.980737785351,430.0471766154213
0.6600000000000003,0.00264294778067,0.0198131622972,10.5629760672,0.023467748745,6.27578752782,0.0,0.0163716285726,0.0967717985266,1.63018059755,0.0167500988304,-0.026760390401,0.0,494.6160758363041,494.8384822683945,494.69380917253756,494.3106327258039
0.7200000000000003,0.00378224216315,0.0261015717916,10.6635144372,0.0244241561144,6.27391513885,0.0,0.0217769046316,0.112937099372,1.72096145521,0.0142689541025,-0.0420430308405,0.0,437.60411399610626,436.3298029555105,436.4574526630632,436.2502545148233
0.7800000000000004,0.00525439864643,0.0332955106124,10.76610158,0.0255651104547,6.27118552006,0.0,0.0275147720047,0.126946164953,1.69863849824,0.027130608608,-0.0534830271831,0.0,399.9815805443586,398.93692572345407,398.6050081622025,399.77857874941157
0.8400000000000004,0.00714969587112,0.0414153638833,10.8698215647,0.0270131107312,6.26859250767,0.0,0.0359342590068,0.143861222793,1.75859528356,0.0173409532337,-0.0280711901372,0.0,425.23945181021355,427.4092647034721,428.0418612451509,427.20809845477385
0.9000000000000005,0.0096561843238,0.0506860157282,10.9811768213,0.0279919053585,6.26658277894,0.0,0.0478212397336,0.165268486007,1.95292716171,0.0141743680177,-0.0474807371177,0.0,469.8221324739281,468.31448277704993,468.9254708922308,468.6793358838083
0.9600000000000005,0.0128759929203,0.061177631396,11.1011478446,0.0289801231905,6.2637228979,0.0,0.0597911526447,0.184539773734,2.04593557406,0.0207063629363,-0.0480350148297,0.0,437.61265476214004,437.5651013526678,439.2059615346687,439.74726447218467
1.0200000000000005,0.0168551035734,0.0728222971307,11.2258325958,0.0307694910699,6.26106392364,0.0,0.0731105883762,0.203762212165,2.11009443081,0.0436618809114,-0.0377605014273,0.0,430.010134113422,430.87836495146377,427.89272513608023,429.84270287371027
1.0800000000000005,0.0217856725946,0.085801877327,11.3589205903,0.0330772646739,6.25919177462,0.0,0.0914757835684,0.229173296076,2.32574040809,0.0252396852773,-0.0205554023653,0.0,475.43532259455253,476.7513214872231,477.63390624694966,476.22752848602664
1.1400000000000006,0.0278195840827,0.100303270067,11.5033298043,0.0340687135616,6.25837445116,0.0,0.109757120551,0.254346903532,2.48755076626,-0.0132555629167,-0.00247880833115,0.0,460.8550201756327,462.2816550787789,462.7560713380717,459.7159557562393
1.2000000000000006,0.0349162211555,0.116261442372,11.6554929638,0.0337733025062,6.25787506343,0.0,0.126820829972,0.277531740366,2.58433892286,0.00798235169259,-0.0238002265718,0.0,443.2219783297773,441.46629587299947,440.9113179670836,442.6624822453585
1.2600000000000007,0.0430985942139,0.133670645777,11.8152979728,0.03393642375,6.25655322569,0.0,0.146067006667,0.302799630159,2.74212051622,-0.0107262069828,-0.0187078792743,0.0,461.3776145404578,461.7794821075871,461.884168876216,460.40634924556787
1.3200000000000007,0.0524656150424,0.152596489174,11.9846251472,0.032943763607,6.25545829054,0.0,0.166278899025,0.327959943736,2.9017231219,-0.0319243950917,-0.017346504537,0.0,462.7608678032135,462.8680922666366,463.3908069924029,461.72149406447
1.3800000000000008,0.0630071696578,0.172931253292,12.1612931653,0.0312067382274,6.2542627917,0.0,0.185210657256,0.349674157759,2.98699188536,-0.0235832059342,-0.0256569854218,0.0,441.12481664900037,440.4380402505519,439.97203766237544,440.66183262868987
1.4400000000000008,0.0747141827064,0.194538842192,12.3432063952,0.0295724955662,6.25282257197,0.0,0.205165085331,0.370416974611,3.07654287035,-0.0357852075628,-0.0208870080736,0.0,443.49152228951885,443.88306716297643,441.566193487301,440.55822313634235
1.5000000000000009,0.0876899809562,0.217397343181,12.5319630042,0.0272233800594,6.25262595837,0.0,0.227413056935,0.391278191315,3.21496740993,-0.0469158851066,0.0188110024775,0.0,456.7756173675856,459.9305946670695,458.15278682888413,457.2661958316809
1.560000000000001,0.101903557698,0.241371014826,12.7259534355,0.0239962217496,6.25366416431,0.0,0.246268056191,0.407564124319,3.251287854,-0.0733357153708,0.0141038462372,0.0,426.89797015902786,426.49604871711784,427.6343006968939,425.375467197963
1.620000000000001,0.117315583558,0.266322934184,12.9250490765,0.0196192710046,6.25446777238,0.0,0.26736529663,0.42368457517,3.38486171972,-0.0721875182691,0.0119334928019,0.0,457.13513106504524,456.9620281981267,457.9341429942222,458.0215152146635
1.680000000000001,0.133905574916,0.292101108611,13.1297431034,0.0149746382029,6.25624017381,0.0,0.28549766654,0.435157264409,3.43812816074,-0.090707290163,0.0516226547192,0.0,430.95824189027377,434.30040930771565,434.39621952602374,432.8352686891351
1.740000000000001,0.151630399193,0.318520265271,13.3409885331,0.00942975658353,6.25941721452,0.0,0.304964421205,0.444857650472,3.60290432066,-0.0960662170797,0.0554816621565,0.0,467.90338863348387,468.2054060714221,468.1192774834633,467.69532362236777
1.8000000000000012,0.170373949812,0.345367247633,13.5588861184,0.00407001504829,6.26356485602,0.0,0.319448165809,0.449506624635,3.66018757386,-0.0784493060745,0.0877376310565,0.0,434.47450216517717,437.174087707045,434.9890826316953,436.4549427151113
1.8600000000000012,0.18992023055,0.372396622314,13.7813427635,0.000189452810001,6.26830327957,0.0,0.331567195491,0.451043077411,3.75474758807,-0.0459449642659,0.0488747047892,0.0,448.6769325579868,445.51490558673635,447.38321253503636,450.0186750414535
1.9200000000000013,0.210029255053,0.399445957942,14.0041848867,6.28038929364,6.2712738739,0.0,0.338513298497,0.450384570461,3.67359760163,-0.0587458137786,0.0507505386839,0.0,389.3598964252731,389.53727431410414,391.0999458284519,389.9037638591819
1.9800000000000013,0.230569689224,0.426389533104,14.2275534086,6.27710662748,6.27485015067,0.0,0.345821120064,0.447388649513,3.7717114464,-0.0476673764311,0.0731320021693,0.0,447.9782445547371,449.79692978142583,448.75723225039275,449.65363828360023
2.0400000000000014,0.251446861045,0.453109777968,14.4537433343,6.27559019347,6.27920153291,0.0,0.349703417935,0.443112419493,3.76797390415,0.00031832231961,0.0712771251465,0.0,416.16794347661966,416.01000517106394,415.5342656538435,419.7194205764957
2.1000000000000014,0.272505148447,0.479495571915,14.6874351378,6.27538598662,0.000275998951635,0.0,0.351702670312,0.436411413333,4.02090578862,-0.0121412054531,0.0704287140118,0.0,496.2396892002597,496.1806930090937,495.0931596401506,494.17562060572664
2.1600000000000015,0.293584644654,0.505540715354,14.9274943379,6.27452030787,0.00463335974735,0.0,0.350595335312,0.431694744275,3.98121193595,-0.0194459878872,0.0766823798105,0.0,406.2301641905544,406.79520637037166,406.91783254675624,406.2634084172787
2.2200000000000015,0.314506156672,0.531257637549,15.1685120768,6.27317634776,0.00920772813124,0.0,0.346339130331,0.425416346645,4.05246689272,-0.0290785515819,0.0753391495512,0.0,442.32606419380045,442.2200422799796,443.6146636842505,442.82289223958173
2.2800000000000016,0.335082092916,0.556571445766,15.4137505405,6.27255419362,0.0137244441438,0.0,0.339085538974,0.418278918053,4.12190276715,0.012583701091,0.0751572961831,0.0,442.2479441185898,442.23744542810863,441.4334276003202,444.8583144770557
2.3400000000000016,0.355170342037,0.581480245136,15.6606122676,6.27425148711,0.0179323227129,0.0,0.330147811027,0.412129528372,4.10687426858,0.0487775245935,0.057482135621,0.0,415.48837263573995,413.9397453858165,415.15550237970155,418.3197424367241
